,seed,rmse,mae,target_tree_size,v,epochs,method
141,4,84.27398006314954,55.72647964139482,2,0.01,1000,Baseline (XGBoost)
142,4,80.83101447877436,53.80515450759755,3,0.01,1000,Baseline (XGBoost)
143,4,78.36318043227644,52.777629929964675,4,0.01,1000,Baseline (XGBoost)
144,4,78.34989688011699,53.09435673585303,5,0.01,1000,Baseline (XGBoost)
145,4,82.76664995081735,55.20386967739729,1,0.02,1000,Baseline (XGBoost)
146,4,84.21279203705593,55.699835506516806,2,0.02,1000,Baseline (XGBoost)
147,4,80.33643948057063,53.38439726339803,3,0.02,1000,Baseline (XGBoost)
148,4,78.93371841008704,53.22647220908586,4,0.02,1000,Baseline (XGBoost)
149,4,78.06643674533044,52.95315060945,5,0.02,1000,Baseline (XGBoost)
150,4,82.3326704723109,55.13541956877209,1,0.03,1000,Baseline (XGBoost)
151,4,84.30037232260695,55.79727571001492,2,0.03,1000,Baseline (XGBoost)
152,4,77.56701171131654,51.3210427058414,3,0.03,1000,Baseline (XGBoost)
153,4,77.1614908878792,51.65658917353733,4,0.03,1000,Baseline (XGBoost)
154,4,77.74227351635278,52.40949249839937,5,0.03,1000,Baseline (XGBoost)
155,4,82.18131246406509,55.14403988012009,1,0.05,1000,Baseline (XGBoost)
156,4,82.72266334131407,55.29448617237333,2,0.05,1000,Baseline (XGBoost)
157,4,78.32210947860838,52.05252836286802,3,0.05,1000,Baseline (XGBoost)
158,4,78.12251083896741,52.40643787095541,4,0.05,1000,Baseline (XGBoost)
159,4,78.0466430233906,52.925245455239185,5,0.05,1000,Baseline (XGBoost)
160,4,81.98716895445442,55.35085038618978,1,0.08,1000,Baseline (XGBoost)
161,4,79.60756488793365,52.562112148268874,2,0.08,1000,Baseline (XGBoost)
162,4,77.88599923046982,51.531956259246975,3,0.08,1000,Baseline (XGBoost)
163,4,77.60714235193029,52.10806813327775,4,0.08,1000,Baseline (XGBoost)
164,4,77.00730752045139,52.12670447795385,5,0.08,1000,Baseline (XGBoost)
165,4,81.96298051551295,55.191377815232855,1,0.1,1000,Baseline (XGBoost)
166,4,78.98555791457818,52.38391670885589,2,0.1,1000,Baseline (XGBoost)
167,4,78.18840708863841,52.11966782641346,3,0.1,1000,Baseline (XGBoost)
168,4,77.07442244177783,51.18199540189461,4,0.1,1000,Baseline (XGBoost)
169,4,76.65750345254854,52.050040120352044,5,0.1,1000,Baseline (XGBoost)
170,4,81.86789203389118,55.43627683889957,1,0.12,1000,Baseline (XGBoost)
171,4,79.22691215208751,52.50643114797166,2,0.12,1000,Baseline (XGBoost)
172,4,77.48005100338446,51.100609868529396,3,0.12,1000,Baseline (XGBoost)
173,4,77.40432370574872,52.52628772830472,4,0.12,1000,Baseline (XGBoost)
174,4,76.9758889429285,52.27113171629414,5,0.12,1000,Baseline (XGBoost)
175,4,82.31058655869161,55.90317240406021,1,0.15,1000,Baseline (XGBoost)
176,4,81.64703151127333,54.607669548886,2,0.15,1000,Baseline (XGBoost)
177,4,77.35229874217211,51.931370181414586,3,0.15,1000,Baseline (XGBoost)
178,4,78.5303659112537,53.19985534230805,4,0.15,1000,Baseline (XGBoost)
179,4,77.55111342668228,52.41632302456892,5,0.15,1000,Baseline (XGBoost)
180,5,100.2663637842248,62.70791904459419,1,0.005,1000,Baseline (XGBoost)
181,5,85.29492267475725,55.52067190477292,2,0.005,1000,Baseline (XGBoost)
182,5,83.6717338914236,55.0273837452955,3,0.005,1000,Baseline (XGBoost)
183,5,80.00238928438857,52.967921312564854,4,0.005,1000,Baseline (XGBoost)
184,5,79.5362513970617,52.93540520019732,5,0.005,1000,Baseline (XGBoost)
185,5,84.59613814365136,55.20881735311633,1,0.01,1000,Baseline (XGBoost)
186,5,85.21419439309251,55.476559567622125,2,0.01,1000,Baseline (XGBoost)
