,seed,rmse,mae,target_tree_size,v,epochs,method
170,4,75.96289208803519,50.92395408593041,1,0.12,1000,Baseline (XGBoost)
171,4,75.26757477260976,50.56829644808985,2,0.12,1000,Baseline (XGBoost)
172,4,75.02589857194926,49.76153247009663,3,0.12,1000,Baseline (XGBoost)
173,4,76.31562410675771,50.36565392886434,4,0.12,1000,Baseline (XGBoost)
174,4,78.08968860691155,51.83740347551867,5,0.12,1000,Baseline (XGBoost)
175,4,75.51018611118167,50.564156427764345,1,0.15,1000,Baseline (XGBoost)
176,4,74.92914555855046,49.87142006326691,2,0.15,1000,Baseline (XGBoost)
177,4,75.3064122567281,49.942951134235436,3,0.15,1000,Baseline (XGBoost)
178,4,76.16597630258933,50.32595094519323,4,0.15,1000,Baseline (XGBoost)
179,4,78.38268491962879,52.04339088251376,5,0.15,1000,Baseline (XGBoost)
180,5,77.07089853463457,54.143230905135255,1,0.005,1000,Baseline (XGBoost)
181,5,76.40471713638502,53.30018326758702,2,0.005,1000,Baseline (XGBoost)
182,5,76.50128779103053,53.710958738338796,3,0.005,1000,Baseline (XGBoost)
183,5,78.39053083273836,55.27971501741948,4,0.005,1000,Baseline (XGBoost)
184,5,80.01461891074766,55.86477713285856,5,0.005,1000,Baseline (XGBoost)
185,5,76.23126248211516,53.077097034836285,1,0.01,1000,Baseline (XGBoost)
186,5,75.75818189704583,52.406659098357466,2,0.01,1000,Baseline (XGBoost)
187,5,76.5269739336059,53.729839498896695,3,0.01,1000,Baseline (XGBoost)
188,5,78.10346052018235,54.94356587846894,4,0.01,1000,Baseline (XGBoost)
189,5,79.51663773693897,55.211246452740916,5,0.01,1000,Baseline (XGBoost)
190,5,76.21292017618075,53.09179343465408,1,0.02,1000,Baseline (XGBoost)
191,5,75.74303212127454,52.40155221417657,2,0.02,1000,Baseline (XGBoost)
192,5,76.18957951861684,53.32741563140819,3,0.02,1000,Baseline (XGBoost)
193,5,77.93736165798214,54.731370833130356,4,0.02,1000,Baseline (XGBoost)
194,5,79.5374194599373,54.89600679622304,5,0.02,1000,Baseline (XGBoost)
195,5,76.33070821008099,53.14740394717256,1,0.03,1000,Baseline (XGBoost)
196,5,75.51334713414343,51.82625256661084,2,0.03,1000,Baseline (XGBoost)
197,5,75.96815862036895,52.70673596697345,3,0.03,1000,Baseline (XGBoost)
198,5,77.75427244255991,54.387910055367854,4,0.03,1000,Baseline (XGBoost)
199,5,79.62143183186751,55.11664577601534,5,0.03,1000,Baseline (XGBoost)
200,5,76.12567542521487,52.78783834213417,1,0.05,1000,Baseline (XGBoost)
201,5,75.7484199128001,52.41675865366387,2,0.05,1000,Baseline (XGBoost)
202,5,75.84227245246294,52.552772253436665,3,0.05,1000,Baseline (XGBoost)
203,5,77.70211445533981,54.441487753680185,4,0.05,1000,Baseline (XGBoost)
204,5,79.72884566585991,54.88226543335106,5,0.05,1000,Baseline (XGBoost)
205,5,76.33395211260881,52.89121176391308,1,0.08,1000,Baseline (XGBoost)
206,5,76.05533799499698,52.23228133830082,2,0.08,1000,Baseline (XGBoost)
207,5,76.01170137180196,52.34166112576507,3,0.08,1000,Baseline (XGBoost)
208,5,77.60068398098477,53.76987456016664,4,0.08,1000,Baseline (XGBoost)
209,5,79.52477441337473,54.459909678430094,5,0.08,1000,Baseline (XGBoost)
210,5,76.14456858767686,52.50855612562885,1,0.1,1000,Baseline (XGBoost)
211,5,75.46763897756495,51.682999637264786,2,0.1,1000,Baseline (XGBoost)
212,5,75.57271818255644,52.10683831309844,3,0.1,1000,Baseline (XGBoost)
