,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs
168,1.0,3.0,1.142495036356761,0.9030719040162396,2.0,1.0,0.1,0.97,200.0
169,1.0,3.0,1.3649894518822268,1.0815538035581542,2.0,1.0,0.1,0.99,200.0
170,1.0,3.0,0.8144173882488115,0.6416811923773054,2.0,2.0,0.1,0.97,200.0
171,1.0,3.0,0.9309582135748651,0.7332982117658594,2.0,2.0,0.1,0.99,200.0
172,1.0,3.0,0.7928091684405567,0.6222012177512178,2.0,3.0,0.1,0.97,200.0
173,1.0,3.0,0.8246238834776048,0.6476146824215355,2.0,3.0,0.1,0.99,200.0
174,1.0,3.0,1.120179298793618,0.8864889214477338,3.0,1.0,0.1,0.97,200.0
175,1.0,3.0,1.3161451257698187,1.0448734458540587,3.0,1.0,0.1,0.99,200.0
176,1.0,3.0,0.7990548244318242,0.6292460346279085,3.0,2.0,0.1,0.97,200.0
177,1.0,3.0,0.9059847860392126,0.7118801634341007,3.0,2.0,0.1,0.99,200.0
178,1.0,3.0,0.7911728586053486,0.6194944309127981,3.0,3.0,0.1,0.97,200.0
179,1.0,3.0,0.8044516771684905,0.6299891828066103,3.0,3.0,0.1,0.99,200.0
180,1.0,3.0,1.3656696240411526,1.0779455836580436,1.0,1.0,0.05,0.97,300.0
181,1.0,3.0,1.5710072874015533,1.2460624317416038,1.0,1.0,0.05,0.99,300.0
182,1.0,3.0,0.9060622799947486,0.7141449336941493,1.0,2.0,0.05,0.97,300.0
183,1.0,3.0,0.9941133438662401,0.7846151785293165,1.0,2.0,0.05,0.99,300.0
184,1.0,3.0,0.8316085794791268,0.6518126818756573,1.0,3.0,0.05,0.97,300.0
185,1.0,3.0,0.8617450192629201,0.6773834625926954,1.0,3.0,0.05,0.99,300.0
186,1.0,3.0,1.2968011282691498,1.0243326265161858,2.0,1.0,0.05,0.97,300.0
187,1.0,3.0,1.452883691856285,1.1534232985630577,2.0,1.0,0.05,0.99,300.0
188,1.0,3.0,0.8766525277730104,0.690866507663443,2.0,2.0,0.05,0.97,300.0
189,1.0,3.0,0.9667098597624708,0.761337935158133,2.0,2.0,0.05,0.99,300.0
190,1.0,3.0,0.8233063218348374,0.6470862734741777,2.0,3.0,0.05,0.97,300.0
191,1.0,3.0,0.8435820938890785,0.66314584823571,2.0,3.0,0.05,0.99,300.0
192,1.0,3.0,1.273976017020969,1.0070844536652557,3.0,1.0,0.05,0.97,300.0
193,1.0,3.0,1.4292920482115665,1.1337789302845775,3.0,1.0,0.05,0.99,300.0
194,1.0,3.0,0.894170316796362,0.7029568655938612,3.0,2.0,0.05,0.97,300.0
195,1.0,3.0,0.9631814334616579,0.7566261273956676,3.0,2.0,0.05,0.99,300.0
196,1.0,3.0,0.8085578581179746,0.6283957508766673,3.0,3.0,0.05,0.97,300.0
197,1.0,3.0,0.8393594892872388,0.6540014867327167,3.0,3.0,0.05,0.99,300.0
198,1.0,3.0,1.0334335132508008,0.8165062672059441,1.0,1.0,0.1,0.97,300.0
199,1.0,3.0,1.110174673500631,0.8775787236313896,1.0,1.0,0.1,0.99,300.0
200,1.0,3.0,0.7651916568655771,0.6055588274882127,1.0,2.0,0.1,0.97,300.0
201,1.0,3.0,0.8153661688433592,0.6444995804624356,1.0,2.0,0.1,0.99,300.0
202,1.0,3.0,0.7844742540272348,0.619051242162846,1.0,3.0,0.1,0.97,300.0
203,1.0,3.0,0.7901916227005732,0.6237447539607385,1.0,3.0,0.1,0.99,300.0
204,1.0,3.0,0.9906946440677519,0.7841111581102903,2.0,1.0,0.1,0.97,300.0
205,1.0,3.0,1.0564462368051926,0.836241420238367,2.0,1.0,0.1,0.99,300.0
206,1.0,3.0,0.7477094870790668,0.5905948361124396,2.0,2.0,0.1,0.97,300.0
207,1.0,3.0,0.7835700893868661,0.6156776264030793,2.0,2.0,0.1,0.99,300.0
208,1.0,3.0,0.7679789215846555,0.6024465924959038,2.0,3.0,0.1,0.97,300.0
209,1.0,3.0,0.7681896775669488,0.6035826734483511,2.0,3.0,0.1,0.99,300.0
210,1.0,3.0,0.9797150255909768,0.7748028186125095,3.0,1.0,0.1,0.97,300.0
211,1.0,3.0,1.0356597671701404,0.8192979506164821,3.0,1.0,0.1,0.99,300.0
212,1.0,3.0,0.7283425901625922,0.5729408909005582,3.0,2.0,0.1,0.97,300.0
213,1.0,3.0,0.7867515810689428,0.6187120476298799,3.0,2.0,0.1,0.99,300.0
214,1.0,3.0,0.7665136075763004,0.6008006747728525,3.0,3.0,0.1,0.97,300.0
215,1.0,3.0,0.7514721135421008,0.5891977354681518,3.0,3.0,0.1,0.99,300.0
216,2.0,1.0,1.7079283048868057,1.3576818873418814,1.0,1.0,0.05,0.97,200.0
