,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
1981,85,300,6,LADTransferTreeBoost,0.05,1,2,0.01,0.1,400,2.927330388706239,2.3396755062732675,2.8442322968379874,2.2994913146760405
1982,85,300,6,MTransferTreeBoost,0.05,1,2,0.01,0.1,400,1.1431747433957158,0.8993445354113242,1.1249525856106921,0.8790881334207361
1983,85,300,6,LSTransferTreeBoost,0.05,1,2,0.01,0.5,400,1.7157733373329436,1.328929623579854,1.7568271118890113,1.3316546058938583
1984,85,300,6,LADTransferTreeBoost,0.05,1,2,0.01,0.5,400,1.256142045364004,0.9583619281764115,1.259604918562609,0.9807666700603692
1985,85,300,6,MTransferTreeBoost,0.05,1,2,0.01,0.5,400,1.0896099742248135,0.8609785436860689,1.0733085422486328,0.8389097013842021
1986,85,300,6,LSTransferTreeBoost,0.05,1,2,0.01,0.9,400,1.559157306681679,1.1705420468869412,1.5904677372158795,1.1690181128588133
1987,85,300,6,LADTransferTreeBoost,0.05,1,2,0.01,0.9,400,1.303871388125114,1.0185816612222491,1.3144963401404124,1.042003847705998
1988,85,300,6,MTransferTreeBoost,0.05,1,2,0.01,0.9,400,1.1141115830708672,0.8767190346679876,1.088819332352115,0.8481862383238047
1989,85,300,6,LSTransferTreeBoost,0.05,1,2,0.05,0.1,400,1.6688252623042379,1.2905629130970275,1.7023816537215453,1.2936830892992053
1990,85,300,6,LADTransferTreeBoost,0.05,1,2,0.05,0.1,400,3.4283312370685937,2.7556488716562613,3.3323967943361046,2.7108009108887234
1991,85,300,6,MTransferTreeBoost,0.05,1,2,0.05,0.1,400,1.1913495722388938,0.9368279426387132,1.169013426126454,0.9168494246521119
1992,85,300,6,LSTransferTreeBoost,0.05,1,2,0.05,0.5,400,1.6530223054088515,1.2591958141036699,1.6671037546411098,1.257861909277946
1993,85,300,6,LADTransferTreeBoost,0.05,1,2,0.05,0.5,400,2.0455211886329265,1.5956801637069984,1.9987346435549964,1.5988246146897342
1994,85,300,6,MTransferTreeBoost,0.05,1,2,0.05,0.5,400,1.0633529950198608,0.8365658771577976,1.0430589846089875,0.8125283567846106
1995,85,300,6,LSTransferTreeBoost,0.05,1,2,0.05,0.9,400,1.7234229952311955,1.3335091607168983,1.7586969310545781,1.3421007776290397
1996,85,300,6,LADTransferTreeBoost,0.05,1,2,0.05,0.9,400,2.118157596107334,1.6598403121978542,2.0755661016527176,1.6728767613408344
1997,85,300,6,MTransferTreeBoost,0.05,1,2,0.05,0.9,400,1.1742894306836051,0.9265550411879359,1.1476361133819286,0.8937966283031941
1998,85,300,6,LSTransferTreeBoost,0.05,1,3,0.0,0.1,400,1.4977907990277266,1.1335945529820466,1.5853296828598968,1.1424251355351476
1999,85,300,6,LADTransferTreeBoost,0.05,1,3,0.0,0.1,400,1.401205139674956,1.0623168349133185,1.3998109404122352,1.0917145587133588
2000,85,300,6,MTransferTreeBoost,0.05,1,3,0.0,0.1,400,1.1508086157053163,0.9053746738319943,1.168687994254722,0.9124237888405987
2001,85,300,6,LSTransferTreeBoost,0.05,1,3,0.0,0.5,400,1.5183997288435218,1.1517329706602322,1.5980065057293205,1.1598766430349716
2002,85,300,6,LADTransferTreeBoost,0.05,1,3,0.0,0.5,400,1.3147354140830656,1.0098702419369867,1.3476570892014856,1.0472132601885593
2003,85,300,6,MTransferTreeBoost,0.05,1,3,0.0,0.5,400,1.1733103740932715,0.933442803218819,1.1716614210056109,0.9179825882542955
2004,85,300,6,LSTransferTreeBoost,0.05,1,3,0.0,0.9,400,3.0169390130166147,2.391208672877232,3.017915034189984,2.403010872784379
2005,85,300,6,LADTransferTreeBoost,0.05,1,3,0.0,0.9,400,3.7185626610131224,2.974278130689572,3.639207018321311,2.9408094226665775
2006,85,300,6,MTransferTreeBoost,0.05,1,3,0.0,0.9,400,2.12790531960391,1.7010329526560388,2.132501508671787,1.7190466280317978
2007,85,300,6,LSTransferTreeBoost,0.05,1,3,0.01,0.1,400,1.5060631110385376,1.1400274340000687,1.5748968511087884,1.1402716660557468
2008,85,300,6,LADTransferTreeBoost,0.05,1,3,0.01,0.1,400,1.3769706799210548,1.0595652367027129,1.3663093039697964,1.0857314434666014
