,seed,method,d,v,target_tree_size,rmse,mae
290,13,xgboost,3,0.02,6,2.1982773115764886,1.7350975680339016
291,13,xgboost_naive_transfer,3,0.02,6,0.9086949746945803,0.7001512351398227
292,13,xgboost,3,0.02,7,2.379319998502293,1.9054594172155976
293,13,xgboost_naive_transfer,3,0.02,7,0.9683589755103296,0.7524275844439635
294,13,xgboost,3,0.03,1,1.4857259469924653,1.1680950472511555
295,13,xgboost_naive_transfer,3,0.03,1,1.1846347615808017,0.953916823960764
296,13,xgboost,3,0.03,2,1.5287135047475755,1.198924375958988
297,13,xgboost_naive_transfer,3,0.03,2,0.8297691227963342,0.6702062340019893
298,13,xgboost,3,0.03,3,1.6030876687684863,1.252569238566316
299,13,xgboost_naive_transfer,3,0.03,3,0.8087790557651018,0.6427447606626517
300,13,xgboost,3,0.03,4,1.7985936975693013,1.396626816873376
301,13,xgboost_naive_transfer,3,0.03,4,0.8274067516816214,0.643119693670065
302,13,xgboost,3,0.03,5,2.0501012976527466,1.6162222881717603
303,13,xgboost_naive_transfer,3,0.03,5,0.8671238125158166,0.6718013612789536
304,13,xgboost,3,0.03,6,2.2211182289312146,1.7527188840625867
305,13,xgboost_naive_transfer,3,0.03,6,0.9236607629670295,0.7131396611738187
306,13,xgboost,3,0.03,7,2.3885794608705635,1.908902188490495
307,13,xgboost_naive_transfer,3,0.03,7,0.9687756568383183,0.7520760990216222
308,13,xgboost,3,0.05,1,1.489942951025996,1.1735717678009714
309,13,xgboost_naive_transfer,3,0.05,1,1.0973715990218087,0.8782854582979326
310,13,xgboost,3,0.05,2,1.540897645513102,1.2086896034546137
311,13,xgboost_naive_transfer,3,0.05,2,0.8333590702106178,0.6681950861040419
312,13,xgboost,3,0.05,3,1.5951236212778839,1.246923042168058
313,13,xgboost_naive_transfer,3,0.05,3,0.823555632521368,0.660808474043989
314,13,xgboost,3,0.05,4,1.7805144155311574,1.3722643915689878
315,13,xgboost_naive_transfer,3,0.05,4,0.8304261691991276,0.6497076342174114
316,13,xgboost,3,0.05,5,2.058594377657425,1.63018781707966
317,13,xgboost_naive_transfer,3,0.05,5,0.8559679171752544,0.6612105322829211
318,13,xgboost,3,0.05,6,2.219410603551566,1.7448083727451817
319,13,xgboost_naive_transfer,3,0.05,6,0.9165885695261453,0.7011634663355591
320,13,xgboost,3,0.05,7,2.3716561965261826,1.8955984222679603
321,13,xgboost_naive_transfer,3,0.05,7,0.9918698218356387,0.7802717623389528
322,13,xgboost,3,0.08,1,1.4629160430220234,1.145823782279304
323,13,xgboost_naive_transfer,3,0.08,1,1.1038354437293152,0.8820302177344795
324,13,xgboost,3,0.08,2,1.5312052629389308,1.2029029278981433
325,13,xgboost_naive_transfer,3,0.08,2,0.8180010902822912,0.650045071828864
326,13,xgboost,3,0.08,3,1.629019158684787,1.2717819437590376
327,13,xgboost_naive_transfer,3,0.08,3,0.8541099754224896,0.6860987547675527
328,13,xgboost,3,0.08,4,1.7454200048767752,1.345049808119554
329,13,xgboost_naive_transfer,3,0.08,4,0.8553434182042102,0.6698273930487161
330,13,xgboost,3,0.08,5,2.093002593034817,1.6594422498531922
331,13,xgboost_naive_transfer,3,0.08,5,0.8872904540068716,0.6837828333242211
332,13,xgboost,3,0.08,6,2.23875204347163,1.7763658163432618
333,13,xgboost_naive_transfer,3,0.08,6,0.9293642027227609,0.7219404648938696
334,13,xgboost,3,0.08,7,2.393448316032886,1.8983334396226013
335,13,xgboost_naive_transfer,3,0.08,7,0.9856942114755061,0.7641125185244589
336,13,xgboost,3,0.1,1,1.4889265910320668,1.1721315408186672
337,13,xgboost_naive_transfer,3,0.1,1,1.091032830425023,0.8667886367074263
338,13,xgboost,3,0.1,2,1.5396223821753143,1.2088401971754423
339,13,xgboost_naive_transfer,3,0.1,2,0.79183157109734,0.6302271242846337
340,13,xgboost,3,0.1,3,1.6143592699441267,1.2660071739369687
341,13,xgboost_naive_transfer,3,0.1,3,0.8121414370047437,0.6377667432923398
342,13,xgboost,3,0.1,4,1.772787823116621,1.3741588651458982
343,13,xgboost_naive_transfer,3,0.1,4,0.8861707073285616,0.6850566550062754
344,13,xgboost,3,0.1,5,2.04881577800526,1.6229019419890172
345,13,xgboost_naive_transfer,3,0.1,5,0.8869976662973734,0.6729821472584291
346,13,xgboost,3,0.1,6,2.238677215360978,1.7758879753265508
347,13,xgboost_naive_transfer,3,0.1,6,0.970303687381643,0.7412369523340949
348,13,xgboost,3,0.1,7,2.3616424587025975,1.8836162346609744
