,seed,disturbance_level,rmse,mae,target_tree_size,v,epochs,method
92,3,1,2.295150165446487,1.8473424388626227,3,0.005,1000,Baseline (XGBoost)
93,3,1,2.368565218962089,1.9143728520890682,4,0.005,1000,Baseline (XGBoost)
94,3,1,2.6106398146131027,2.1085126141059662,5,0.005,1000,Baseline (XGBoost)
95,3,1,2.121350325137539,1.6761775354351238,1,0.01,1000,Baseline (XGBoost)
96,3,1,2.1209916961878794,1.6683640760900311,2,0.01,1000,Baseline (XGBoost)
97,3,1,2.296656727752786,1.847992220955157,3,0.01,1000,Baseline (XGBoost)
98,3,1,2.3268161921370902,1.875561892813412,4,0.01,1000,Baseline (XGBoost)
99,3,1,2.588546132474664,2.0935843536268703,5,0.01,1000,Baseline (XGBoost)
100,3,1,2.0233159672669467,1.594803518875281,1,0.02,1000,Baseline (XGBoost)
101,3,1,2.107986448259341,1.660560630595562,2,0.02,1000,Baseline (XGBoost)
102,3,1,2.2985603885629446,1.8515741085762258,3,0.02,1000,Baseline (XGBoost)
103,3,1,2.348719259987037,1.8964789891166496,4,0.02,1000,Baseline (XGBoost)
104,3,1,2.5738718515805603,2.0770431071070887,5,0.02,1000,Baseline (XGBoost)
105,3,1,1.9713920816985278,1.5537000644027144,1,0.03,1000,Baseline (XGBoost)
106,3,1,2.1082143362454397,1.6607272911654514,2,0.03,1000,Baseline (XGBoost)
107,3,1,2.254802488360248,1.8109333251453195,3,0.03,1000,Baseline (XGBoost)
108,3,1,2.3666411082602736,1.9076628236390016,4,0.03,1000,Baseline (XGBoost)
109,3,1,2.5747341276718565,2.078372010200804,5,0.03,1000,Baseline (XGBoost)
110,3,1,1.9888397688228703,1.5677216187562422,1,0.05,1000,Baseline (XGBoost)
111,3,1,2.1144331955142377,1.6605956444086618,2,0.05,1000,Baseline (XGBoost)
112,3,1,2.2784156159532385,1.8282539326193463,3,0.05,1000,Baseline (XGBoost)
113,3,1,2.349862197873905,1.8987153960618834,4,0.05,1000,Baseline (XGBoost)
114,3,1,2.5565393749581347,2.0627910128107025,5,0.05,1000,Baseline (XGBoost)
115,3,1,1.9413347024866843,1.5284957473917553,1,0.08,1000,Baseline (XGBoost)
116,3,1,2.0973238478813525,1.639964419296834,2,0.08,1000,Baseline (XGBoost)
117,3,1,2.256201887607796,1.8107852096028483,3,0.08,1000,Baseline (XGBoost)
118,3,1,2.353317159849426,1.896016071962776,4,0.08,1000,Baseline (XGBoost)
119,3,1,2.506643002934103,2.0287359717141364,5,0.08,1000,Baseline (XGBoost)
120,3,1,1.9915039472589067,1.5707211730944,1,0.1,1000,Baseline (XGBoost)
121,3,1,2.1005620636604196,1.6460534321376066,2,0.1,1000,Baseline (XGBoost)
122,3,1,2.2736794443920716,1.8237936661140297,3,0.1,1000,Baseline (XGBoost)
123,3,1,2.3670944233714404,1.905369424178355,4,0.1,1000,Baseline (XGBoost)
124,3,1,2.55627282889014,2.071891046032208,5,0.1,1000,Baseline (XGBoost)
125,3,1,1.9470849926027727,1.5334022665293552,1,0.12,1000,Baseline (XGBoost)
126,3,1,2.134210234007833,1.6859455883708412,2,0.12,1000,Baseline (XGBoost)
127,3,1,2.2991887802514968,1.8499093825647033,3,0.12,1000,Baseline (XGBoost)
128,3,1,2.3194372506051946,1.8622556079228512,4,0.12,1000,Baseline (XGBoost)
129,3,1,2.5159445379147214,2.0239144992449507,5,0.12,1000,Baseline (XGBoost)
130,3,1,1.930844345723701,1.512547985559042,1,0.15,1000,Baseline (XGBoost)
131,3,1,2.0498591054217252,1.609534721503636,2,0.15,1000,Baseline (XGBoost)
132,3,1,2.271526674888004,1.823989145272508,3,0.15,1000,Baseline (XGBoost)
133,3,1,2.3472738384277,1.8961149854075539,4,0.15,1000,Baseline (XGBoost)
134,3,1,2.630823694481268,2.1157873645932552,5,0.15,1000,Baseline (XGBoost)
135,4,1,2.4576735862454275,1.9946916077026708,1,0.005,1000,Baseline (XGBoost)
136,4,1,2.212313794553166,1.7739359185222536,2,0.005,1000,Baseline (XGBoost)
137,4,1,2.1728001122029137,1.7251275384263614,3,0.005,1000,Baseline (XGBoost)
138,4,1,2.213781664859782,1.7512903261979904,4,0.005,1000,Baseline (XGBoost)
139,4,1,2.1581438468904723,1.7253118854012632,5,0.005,1000,Baseline (XGBoost)
140,4,1,2.1960207729652774,1.7516591828335077,1,0.01,1000,Baseline (XGBoost)
141,4,1,2.1106048245813773,1.690153972263438,2,0.01,1000,Baseline (XGBoost)
142,4,1,2.13328324242727,1.6858416748084966,3,0.01,1000,Baseline (XGBoost)
143,4,1,2.2079900026227772,1.748457150944687,4,0.01,1000,Baseline (XGBoost)
