,n_samples,time (s),Method
155,400,3.0481972694396973,LAD
156,400,3.0302295684814453,LAD
157,400,3.036719799041748,LAD
158,400,2.9797861576080322,LAD
159,400,3.106228828430176,LAD
160,400,3.0115160942077637,LAD
161,400,3.011589527130127,LAD
162,400,2.9583308696746826,LAD
163,400,2.9766900539398193,LAD
164,400,2.9886248111724854,LAD
165,400,3.056602716445923,LAD
166,400,2.9933090209960938,LAD
167,400,2.9990053176879883,LAD
168,400,2.9716551303863525,LAD
169,400,2.951216220855713,LAD
170,400,2.9733095169067383,LAD
171,400,2.9639463424682617,LAD
172,400,2.9774396419525146,LAD
173,400,2.994396209716797,LAD
174,400,2.969498634338379,LAD
175,400,3.0066564083099365,LAD
176,400,2.9861621856689453,LAD
177,400,3.054349660873413,LAD
178,400,3.0058422088623047,LAD
179,400,3.1176328659057617,LAD
180,400,3.182701587677002,LAD
181,400,3.1276094913482666,LAD
182,400,3.136883020401001,LAD
183,400,3.199064016342163,LAD
184,400,3.137695550918579,LAD
185,400,3.1461243629455566,LAD
186,400,2.9759984016418457,LAD
187,400,2.914525270462036,LAD
188,400,2.903322696685791,LAD
189,400,2.913891553878784,LAD
190,400,2.8971762657165527,LAD
191,400,2.906744956970215,LAD
192,400,2.94113826751709,LAD
193,400,2.9693758487701416,LAD
194,400,2.964726686477661,LAD
195,400,2.969538927078247,LAD
196,400,2.9803099632263184,LAD
197,400,2.972562789916992,LAD
198,400,2.9802064895629883,LAD
199,400,3.0437817573547363,LAD
200,500,3.7412538528442383,LAD
201,500,3.748072385787964,LAD
202,500,3.807401180267334,LAD
203,500,3.7750415802001953,LAD
204,500,3.77659273147583,LAD
205,500,3.7990856170654297,LAD
206,500,3.7881569862365723,LAD
207,500,3.80098819732666,LAD
208,500,3.7389447689056396,LAD
209,500,3.723931074142456,LAD
210,500,3.7901792526245117,LAD
211,500,3.6994919776916504,LAD
212,500,3.7340495586395264,LAD
213,500,3.695220947265625,LAD
214,500,3.748260498046875,LAD
215,500,3.805197238922119,LAD
216,500,3.746426820755005,LAD
217,500,3.7405660152435303,LAD
218,500,3.773787021636963,LAD
219,500,3.7439749240875244,LAD
220,500,3.7398784160614014,LAD
221,500,3.733076333999634,LAD
222,500,3.7880301475524902,LAD
223,500,3.766017436981201,LAD
224,500,3.771341562271118,LAD
225,500,3.7055740356445312,LAD
226,500,3.7581379413604736,LAD
227,500,3.7789323329925537,LAD
228,500,3.760756492614746,LAD
229,500,3.7734034061431885,LAD
230,500,3.7645058631896973,LAD
231,500,3.7773001194000244,LAD
232,500,3.7332522869110107,LAD
233,500,3.7732532024383545,LAD
234,500,3.7746520042419434,LAD
