,seed,target_instances,d,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,2,200,1,MLP,0.0005,0.0001,0.0,True,3.2680287,2.895415,3.081235,2.727012
0,2,200,3,MLP,0.0005,0.0001,0.1,False,1.8331265,1.4326979,1.895783,1.499959
0,2,200,2,MLP,0.0005,0.0001,0.1,True,4.9979672,4.191613,4.838902,4.002786
0,2,200,3,MLP,0.0005,5e-05,0.0,True,6.8387814,6.238284,6.755261,6.130596
0,2,200,1,MLP,0.0005,0.0001,0.0,False,1.2105614,0.9463726,1.2622248,0.98355675
0,2,200,2,MLP,0.0005,0.0001,0.1,False,1.830325,1.4499375,1.8784691,1.4950179
0,2,200,3,MLP,0.0005,5e-05,0.0,False,1.492883,1.189449,1.5690093,1.2486057
0,2,200,2,MLP,0.0005,5e-05,0.0,True,7.5186577,6.714661,7.3670826,6.497116
0,2,200,1,MLP,0.0005,0.0001,0.1,True,2.4391594,2.1468995,2.3368962,2.0420365
0,2,200,3,MLP,0.0005,5e-05,0.1,True,9.386844,7.99399,8.959793,7.4905753
0,2,200,2,MLP,0.0005,5e-05,0.0,False,1.5500726,1.205655,1.5560762,1.2288355
0,2,200,1,MLP,0.0005,0.0001,0.1,False,1.8157552,1.4484006,1.8412971,1.4611591
0,2,200,3,MLP,0.0005,5e-05,0.1,False,1.9135855,1.4894868,1.9483577,1.5123032
0,2,200,2,MLP,0.0005,5e-05,0.1,True,4.8077025,4.0409274,4.646505,3.7895195
0,2,200,1,MLP,0.0005,5e-05,0.0,True,2.5748634,2.2280905,2.5207982,2.1649835
0,2,200,3,MLP,0.0001,0.0001,0.0,True,4.7778864,4.33714,4.6852183,4.226172
0,2,200,2,MLP,0.0005,5e-05,0.1,False,1.6621631,1.311037,1.7206298,1.351976
0,2,200,3,MLP,0.0001,0.0001,0.0,False,1.6829109,1.3264675,1.762634,1.3991487
0,2,200,1,MLP,0.0005,5e-05,0.0,False,1.292499,1.0131732,1.3344532,1.0497471
0,2,200,2,MLP,0.0001,0.0001,0.0,True,3.7896492,3.4405777,3.678147,3.3209445
0,2,200,3,MLP,0.0001,0.0001,0.1,True,8.617971,7.2125645,8.240805,6.7664127
0,2,200,3,MLP,0.0001,0.0001,0.1,False,1.8783721,1.4901428,1.9210597,1.5294834
0,2,200,2,MLP,0.0001,0.0001,0.0,False,1.3750023,1.0779256,1.4273843,1.1166283
0,2,200,1,MLP,0.0005,5e-05,0.1,True,2.160235,1.7906438,2.0755465,1.7245696
0,2,200,3,MLP,0.0001,5e-05,0.0,True,8.007618,6.687501,7.709994,6.3361163
0,2,200,2,MLP,0.0001,0.0001,0.1,True,6.1429167,5.3336015,5.951748,5.0332537
0,2,200,1,MLP,0.0005,5e-05,0.1,False,1.5038159,1.1799527,1.5384563,1.2112029
0,2,200,3,MLP,0.0001,5e-05,0.0,False,1.7777636,1.3859582,1.8331591,1.4303776
0,2,200,2,MLP,0.0001,0.0001,0.1,False,1.6977284,1.3304467,1.7468505,1.3841816
0,2,200,3,MLP,0.0001,5e-05,0.1,True,8.393267,6.9438143,8.041985,6.519178
