,seed,d,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,rmse,mae
188,17,6,MLP,0.0001,5e-05,0.0,True,5.104214,4.110712
189,17,6,MLP,0.0001,5e-05,0.0,False,1.9014059,1.5700192
190,17,6,MLP,0.0001,5e-05,0.1,True,6.384951,5.395179
191,17,6,MLP,0.0001,5e-05,0.1,False,2.0346735,1.659918
192,18,2,MLP,0.0005,0.0001,0.0,True,2.3997939,1.9408115
193,18,2,MLP,0.0005,0.0001,0.0,False,1.4179429,1.12016
194,18,2,MLP,0.0005,0.0001,0.1,True,1.6700884,1.3511492
195,18,2,MLP,0.0005,0.0001,0.1,False,1.7058678,1.4150349
196,18,2,MLP,0.0005,5e-05,0.0,True,5.223778,4.5456767
197,18,2,MLP,0.0005,5e-05,0.0,False,1.6212095,1.3094258
198,18,2,MLP,0.0005,5e-05,0.1,True,1.6319199,1.2662994
199,18,2,MLP,0.0005,5e-05,0.1,False,1.7573603,1.4628698
200,18,2,MLP,0.0001,0.0001,0.0,True,1.8671522,1.4661987
201,18,2,MLP,0.0001,0.0001,0.0,False,1.5367408,1.2473198
202,18,2,MLP,0.0001,0.0001,0.1,True,5.343648,4.560506
203,18,2,MLP,0.0001,0.0001,0.1,False,1.4962,1.2029921
204,18,2,MLP,0.0001,5e-05,0.0,True,3.25697,2.796944
205,18,2,MLP,0.0001,5e-05,0.0,False,1.3767881,1.1044302
206,18,2,MLP,0.0001,5e-05,0.1,True,1.845121,1.4764931
207,18,2,MLP,0.0001,5e-05,0.1,False,1.6604639,1.3242968
208,18,4,MLP,0.0005,0.0001,0.0,True,8.578519,7.6725187
209,18,4,MLP,0.0005,0.0001,0.0,False,1.530113,1.2369866
210,18,4,MLP,0.0005,0.0001,0.1,True,10.019746,8.647848
211,18,4,MLP,0.0005,0.0001,0.1,False,1.6539156,1.370506
212,18,4,MLP,0.0005,5e-05,0.0,True,9.161372,6.8508396
213,18,4,MLP,0.0005,5e-05,0.0,False,1.423226,1.147337
214,18,4,MLP,0.0005,5e-05,0.1,True,8.847963,7.5422487
215,18,4,MLP,0.0005,5e-05,0.1,False,1.5249254,1.2420506
216,18,4,MLP,0.0001,0.0001,0.0,True,8.674855,7.3347287
217,18,4,MLP,0.0001,0.0001,0.0,False,1.4610033,1.1795696
218,18,4,MLP,0.0001,0.0001,0.1,True,8.5780325,7.3168907
219,18,4,MLP,0.0001,0.0001,0.1,False,1.685762,1.4161544
220,18,4,MLP,0.0001,5e-05,0.0,True,8.527927,6.6048856
221,18,4,MLP,0.0001,5e-05,0.0,False,1.535569,1.2404244
222,18,4,MLP,0.0001,5e-05,0.1,True,8.746265,7.5064497
223,18,4,MLP,0.0001,5e-05,0.1,False,1.8347895,1.4991093
224,18,6,MLP,0.0005,0.0001,0.0,True,10.761812,9.557707
225,18,6,MLP,0.0005,0.0001,0.0,False,1.8047848,1.5073271
226,18,6,MLP,0.0005,0.0001,0.1,True,13.742861,11.749429
227,18,6,MLP,0.0005,0.0001,0.1,False,1.9751598,1.6427649
228,18,6,MLP,0.0005,5e-05,0.0,True,12.724213,10.976615
229,18,6,MLP,0.0005,5e-05,0.0,False,1.769507,1.4375755
230,18,6,MLP,0.0005,5e-05,0.1,True,13.57803,11.621516
231,18,6,MLP,0.0005,5e-05,0.1,False,1.896641,1.5899957
232,18,6,MLP,0.0001,0.0001,0.0,True,9.502797,8.137341
233,18,6,MLP,0.0001,0.0001,0.0,False,1.7900763,1.4860076
234,18,6,MLP,0.0001,0.0001,0.1,True,10.281943,9.186535
235,18,6,MLP,0.0001,0.0001,0.1,False,1.7943807,1.5086468
236,18,6,MLP,0.0001,5e-05,0.0,True,9.837968,8.741645
237,18,6,MLP,0.0001,5e-05,0.0,False,1.7262529,1.4456004
238,18,6,MLP,0.0001,5e-05,0.1,True,13.956118,11.829253
239,18,6,MLP,0.0001,5e-05,0.1,False,1.806104,1.5114485
