,seed,method,d,v,target_tree_size,rmse,mae
287,7,xgboost_naive_transfer,1,0.02,4,0.7234960820460162,0.576346145606778
288,7,xgboost,1,0.02,5,1.9283533091028437,1.512547651841792
289,7,xgboost_naive_transfer,1,0.02,5,0.7509284633875088,0.5954227147071063
290,7,xgboost,1,0.02,6,2.0882231804518447,1.644708865711032
291,7,xgboost_naive_transfer,1,0.02,6,0.8085816685084771,0.6389424766723253
292,7,xgboost,1,0.02,7,2.3337735660889534,1.846504814088274
293,7,xgboost_naive_transfer,1,0.02,7,0.8606634052449271,0.6820531547903778
294,7,xgboost,1,0.03,1,1.7104985303189384,1.3617613249241516
295,7,xgboost_naive_transfer,1,0.03,1,1.0248366533061528,0.8124641361673917
296,7,xgboost,1,0.03,2,1.5880856871237206,1.2682169994872128
297,7,xgboost_naive_transfer,1,0.03,2,0.6773367065622354,0.5548522697199522
298,7,xgboost,1,0.03,3,1.591705758317271,1.2600869221976545
299,7,xgboost_naive_transfer,1,0.03,3,0.6950434869904386,0.5557486125108487
300,7,xgboost,1,0.03,4,1.7534037802526532,1.3655877910883607
301,7,xgboost_naive_transfer,1,0.03,4,0.7242972349457736,0.5783452551294884
302,7,xgboost,1,0.03,5,1.9448726335168427,1.5168176950025463
303,7,xgboost_naive_transfer,1,0.03,5,0.7577816706921877,0.5989984757727628
304,7,xgboost,1,0.03,6,2.071758235333257,1.632586102218192
305,7,xgboost_naive_transfer,1,0.03,6,0.8001854989456652,0.6284841848843147
306,7,xgboost,1,0.03,7,2.3358800198302836,1.8510155407567794
307,7,xgboost_naive_transfer,1,0.03,7,0.8569681984130888,0.6775014808017604
308,7,xgboost,1,0.05,1,1.617315644671701,1.2901751983342349
309,7,xgboost_naive_transfer,1,0.05,1,0.9680137953053107,0.7555660191248229
310,7,xgboost,1,0.05,2,1.61881407415125,1.2907769541218224
311,7,xgboost_naive_transfer,1,0.05,2,0.684204302236726,0.5591174004053069
312,7,xgboost,1,0.05,3,1.6242735023176627,1.2913309253820953
313,7,xgboost_naive_transfer,1,0.05,3,0.6956489127605012,0.5569578318268654
314,7,xgboost,1,0.05,4,1.7558110802616103,1.3772084332132333
315,7,xgboost_naive_transfer,1,0.05,4,0.7357251439681566,0.5826586818019146
316,7,xgboost,1,0.05,5,1.9453485182161336,1.5194838468536378
317,7,xgboost_naive_transfer,1,0.05,5,0.7779689729754395,0.6204026938379446
318,7,xgboost,1,0.05,6,2.0899833521271503,1.656750321859471
319,7,xgboost_naive_transfer,1,0.05,6,0.8121881815739969,0.6390976461745554
320,7,xgboost,1,0.05,7,2.345451136926651,1.8536668335616413
321,7,xgboost_naive_transfer,1,0.05,7,0.8584934646876469,0.6787300224672663
322,7,xgboost,1,0.08,1,1.6326963119874103,1.302443719573976
323,7,xgboost_naive_transfer,1,0.08,1,0.9788852703582602,0.7655216935805498
